"","Islope","Itarget","Skate","ES-Frecent","ES-FSPR","ES-FM","AIM","DLM","CC-FM","PlanB","ES-Fstable","CC-FSPR","Ensemble"
"retro_type           ",0.161,0.497,0.451,0.18,0.51,0.513,0.465,0.188,0.225,0.181,0.461,0.226,0.347
"Fhist                ",0.144,0.015,0.025,0.151,0.009,0.008,0.035,0.161,0.042,0.151,0.034,0.043,0.055
"n_selblocks          ",0.003,0,0.001,0.003,0,0.003,0.001,0.003,0.003,0.003,0.001,0,0.001
"catch.mult           ",0.006,0.003,0.006,0.007,0.004,0.004,0.007,0.006,0.002,0.006,0.007,0.002,0.007
"retro_type:Fhist     ",0.002,0.007,0.004,0.002,0.005,0.005,0.005,0.002,0.002,0.002,0.004,0.002,0.004
"retro_type:catch.mult",0,0,0.004,0,0.001,0.001,0.003,0,0,0,0.003,0,0
"Fhist:catch.mult     ",0,0,0,0,0,0,0,0,0,0,0,0,0
"SS.frac.explained",0.316,0.522,0.492,0.342,0.529,0.535,0.515,0.36,0.274,0.343,0.511,0.273,0.415
