"iscen","isim","retro_type","Fhist","n_selblocks","ssbmsy1","ssbmsy50","fmsy1","fmsy50","msy1","msy50","F50"
1,1,"Catch","O",1,47633.1891480396,47633.1891480396,0.173572826051266,0.173572826051266,6543.95534346389,6543.95534346389,0.433932302945936
2,1,"M","O",1,47633.1891480396,11612.9908351638,0.173572826051266,0.381335904846129,6543.95534346389,2807.07003386224,0.433932302945936
3,1,"Catch","F",1,47633.1891480396,47633.1891480396,0.173572826051266,0.173572826051266,6543.95534346389,6543.95534346389,0.173572921178374
4,1,"M","F",1,47633.1891480396,15973.1315845091,0.173572826051266,0.309550507884703,6543.95534346389,3333.82081555435,0.173572921178374
5,1,"Catch","O",2,47633.1891480396,49144.0750835275,0.173572826051266,0.229098949358739,6543.95534346389,7237.75673178366,0.572747373677187
6,1,"M","O",2,47633.1891480396,11978.9728661889,0.173572826051266,0.667723224039462,6543.95534346389,2970.70937517944,0.572747373677187
7,1,"Catch","F",2,47633.1891480396,49144.0750835275,0.173572826051266,0.229098949358739,6543.95534346389,7237.75673178366,0.229098949470875
8,1,"M","F",2,47633.1891480396,16833.4973587858,0.173572826051266,0.479688608052608,6543.95534346389,3559.24624970197,0.229098949470875
