"","metric","AIM","CC-FM","CC-FSPR","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PlanB","Skate"
"1","catch_a_iav_catch",-0.344333213318745,-1.239840315994,-0.776407157332423,0.782076072892373,-0.47990706639895,1.05044640019511,-0.216707533774071,-0.361129555447054,1.47175232068291,-0.703797218919087,1.75481217534357,-0.93696490792963
"2","catch_l_avg_catch",0.461456453987003,0.57445180718667,-0.414453753990879,-0.301643501011259,0.731404422488427,-0.524237154905968,1.30020503857529,0.429705737099303,-1.48483296668964,1.46528706379176,-0.546527420191022,-1.69081572633968
"3","catch_l_avg_catch_msy",0.747823621387404,-0.201279363398648,-1.25377205514522,-0.0517533551280723,0.989580219342099,-0.550768736296131,1.39289893223009,0.718689311476944,-1.43136530072142,1.27742874964162,-0.638432696688265,-0.999049326700407
"4","catch_l_iav_catch",-0.071111389740177,-1.52873854364845,-1.23436400539182,0.608312608417994,0.313574025371904,0.608807770369774,0.407767506963453,-0.0806966030542645,1.15114050787301,-1.7710281302583,1.2378448443806,0.358491408716272
"5","catch_l_prop_g_msy_2_of_3",-0.329026514612821,1.47446636484737,2.10414009191082,-0.795050007392064,-0.991727457713451,0.00320733370630628,-1.46120987788974,-0.279572370605593,-0.476388261939933,0.106927153858608,0.234212925385845,0.410020620444645
"6","catch_l_sd_catch",-0.309326961888379,-1.02495414637354,-0.381569921182417,0.365004435103096,0.04169255041914,0.959231424816522,0.0409961966979432,-0.324355059919412,1.16975049219884,-2.29411201576529,1.30910703312889,0.448535972764601
"7","catch_s_avg_catch",1.26183140593519,-1.29861595359332,-1.76424481457841,0.413234625602264,0.473198526798501,-0.417130227522112,0.0584835302323336,1.26063991877896,-0.199108743956072,-0.48426735891156,-0.63464850356716,1.3306275947814
"8","catch_s_avg_catch_msy",1.25729543634574,-1.32325631656157,-1.77056823685558,0.356439000663933,0.399418392695596,-0.268373934733056,-0.0457799699277954,1.25324324538738,-0.0468409975637309,-0.704020588989076,-0.477330671198298,1.36977464073645
"9","catch_s_iav_catch",-1.14956048561672,-0.136322775811266,-0.0219620219084569,0.824444874475048,-0.802730441598941,0.797595066771972,-0.611323443396558,-1.20735805045534,1.55510550185176,0.13307485958163,1.58233145502142,-0.963294538914555
"10","catch_s_sd_catch",-1.19377726357517,0.281829653468006,0.475570204888268,0.521606514751413,-0.856178691201463,1.08644969619907,-0.646242470586043,-1.22407162990724,1.35803734473978,-0.0439223120652523,1.40344521421711,-1.16274626092848
"11","f_l_avg_f_fmsy",0.47075813254744,0.854416879557732,1.60305371950874,-0.557612978075164,-0.0538088626762838,-0.822571671052204,0.30394016950091,0.482428653396591,-1.87443454256761,0.933835632964804,-0.00681035704419064,-1.33319477606076
"12","f_l_is_gr_f_dot_1_bmsy",-0.415856131529414,0.738247117888384,1.84468147840387,-0.364597561836699,0.386823557612367,-0.0783390861161878,1.01319476652422,-0.445814209574882,-1.29193970077489,-0.888182498471618,0.930531654412925,-1.42874938653808
"13","f_l_is_gr_f_dot_5_bmsy",-0.892716521982301,1.05970687246752,2.03498320303323,-0.361360934256518,-0.39938408356906,0.227270315666754,0.362179739284164,-0.894216462991876,-0.556317178137646,-0.52372514926687,1.21296194010835,-1.26938174035574
"14","f_l_is_gr_fmsy",-0.846716331303123,1.2204871434356,2.18843151445348,-0.406673375078452,-0.787922548963076,0.279600984518986,-0.578506305257383,-0.832026256052623,-0.198528996574544,-0.270024041364987,1.10934749941145,-0.877469287225337
"15","f_l_is_less_f_dot_1_bmsy",0.927974614123555,0.798535217129191,1.00028592326392,-0.34002518717724,-0.051080912297491,-1.00973719126046,0.228590633144537,0.94346096329063,-1.97211303660845,1.05342837085375,-0.494364245201116,-1.08495514926083
"16","f_l_is_less_f_dot_5_bmsy",0.824134210130297,0.879366745803911,1.08232092147301,-0.338774811693686,-0.119657659413491,-1.04060770845661,0.103275947771284,0.838017807349957,-1.94093588233309,1.19542543751488,-0.462056540814427,-1.02050846733203
"17","f_l_is_less_fmsy",0.367926208045911,1.07167037008539,1.31183964231493,-0.312804769437156,-0.202549950764493,-0.980311586205767,0.0581617428671805,0.431454200449882,-1.87035865800748,1.46354452280045,-0.377979458048141,-0.960592264100717
"18","f_l_n_gr_f_dot_1_bmsy",0.626906100029416,0.705764578832869,1.39188053687595,-0.459399026514446,0.16217959021966,-0.933975214233872,0.480395435866247,0.634818074783508,-2.09129998250252,0.770769988893249,-0.0823373442136087,-1.20570273803644
"19","f_l_n_gr_f_dot_5_bmsy",-0.0487639676197307,1.03631520689891,1.78996721880617,-0.451277095134353,-0.0628598537277618,-0.720337759391423,0.412170825742336,-0.00964890863822619,-1.79060418960967,0.937552806665748,0.209110684653354,-1.30162496864534
"20","f_l_n_gr_fmsy",-0.740935636188804,1.31073707808035,1.98233529834242,-0.306992901561095,-0.528437448257234,-0.29477424923392,-0.0958687533844131,-0.66748064392248,-1.04091988580824,1.07519568983468,0.492808216894173,-1.18566676479543
"21","f_l_n_less_f_dot_1_bmsy",0.626906100029416,0.705764578832869,1.39188053687595,-0.459399026514446,0.162179590219659,-0.933975214233872,0.480395435866247,0.634818074783508,-2.09129998250252,0.770769988893248,-0.082337344213609,-1.20570273803644
"22","f_l_n_less_f_dot_5_bmsy",-0.0487639676197307,1.03631520689891,1.78996721880617,-0.451277095134353,-0.0628598537277624,-0.720337759391423,0.412170825742336,-0.00964890863822651,-1.79060418960967,0.937552806665748,0.209110684653354,-1.30162496864534
