"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","SCAA","Skate"
"1","catch_a_iav_catch",-0.615173107572611,-0.579397423720848,-0.273418922161548,0.586930611926153,0.517391370104765,-1.04376469826038,1.05855906141472,-0.749250372913673,-0.589641760687189,1.47495621162442,-0.730240631206975,1.66995308031341,0.802350814078959,-1.52925423293919
"2","catch_l_avg_catch",0.190145686117018,0.680225841837809,-0.150747516620628,-0.73105407098586,-1.0229606492948,-0.84280915457171,0.195774227342372,-0.535472371037425,0.242129536442954,-0.444520143961473,1.81594389179915,0.234653862369378,1.94292903434751,-1.57423817378429
"3","catch_l_avg_catch_msy",0.777662284621632,-0.255397414454047,-1.41869251161073,-1.16253333932139,-0.607610074396811,-0.0827691936089249,0.00162683964898518,0.149235417654533,0.816438135122583,-0.779990965020819,1.88652073985226,-0.064275496782862,1.68439581301674,-0.944610234721144
"4","catch_l_iav_catch",-0.203872588366554,-1.37338834636413,-1.13729799072615,-0.703263133047012,0.667990702094917,0.173862932552855,0.640460421818861,0.232885650267456,-0.201515382397785,1.28586461812965,-1.99196574587757,1.31497102583977,0.885706919151607,0.409560916924085
"5","catch_l_prop_g_msy_2_of_3",-0.468837576821997,1.26438184519023,1.96660318016185,1.9483578656461,-0.280973065980179,-0.268493753103972,-0.523019738641628,-0.478042215150296,-0.500886602960471,-0.96369547458272,-0.422145292892281,-0.323090746937381,-1.1647180734065,0.214559649479243
"6","catch_l_sd_catch",-0.287672588131208,-0.919000853875838,-0.31479070704747,0.380456168236877,0.610111493242147,0.406958219799522,0.765270061143015,0.325605751177606,-0.322900720565599,0.966300984818418,-2.75580707709453,1.10016790504898,-0.591947881694763,0.637249244942838
"7","catch_s_avg_catch",1.16732955681521,-1.43357556491815,-1.84151899146723,-0.572902014961849,0.668656686143342,0.890938025221698,-0.478234231425603,0.647619868437602,1.1664339151619,-0.31261666759779,-0.0530711215782521,-0.696640175007846,-0.489496075276518,1.33707679045349
"8","catch_s_avg_catch_msy",1.25505655916875,-1.42779863625667,-1.83897982364009,-0.327111035040773,0.568741669605642,0.72541373515261,-0.237486823797328,0.383661269317094,1.25021473236747,-0.0472056396826232,-0.442645349816355,-0.449786510139654,-0.869598646465092,1.45752449922704
"9","catch_s_iav_catch",-1.22287378202635,0.261917141965984,0.325132472487109,1.18960781350368,0.579291880586862,-1.01401747707157,0.796905590342306,-0.803422126525267,-1.25766262610532,1.39975947352656,-0.0696757471850634,1.39941140958003,-0.286531150804673,-1.29784287227429
"10","catch_s_sd_catch",-1.12015202580719,0.62262314750708,0.735101683658825,1.13459090330872,0.328488368798587,-1.04614811918192,1.03522468210593,-0.871551576050497,-1.13247743393495,1.22858609172794,-0.268584795977643,1.25402773054131,-0.592674382432925,-1.30705427426325
"11","f_l_avg_f_fmsy",0.125027387852358,0.859789993591688,1.39329569541737,1.18978617001161,-0.844991952989092,-0.798952677992235,-0.57044267428377,-0.473529969448161,0.148974989425869,-1.321424251994,0.650671469666089,0.10968171442926,1.29463079838186,-1.76251669206884
"12","f_l_is_gr_f_dot_1_bmsy",-0.60420424155812,0.838264909433963,1.73871446068039,1.2472114531356,-0.468184439475914,-0.276784534863146,-0.253584546425235,0.0610652967639361,-0.600058898278673,-1.26568404202911,-0.839384254482493,0.694714980974387,1.24299777386107,-1.51508391773666
"13","f_l_is_gr_f_dot_5_bmsy",-0.999528718903652,0.985868270982907,1.8404690060966,1.23467128728757,-0.435440387112102,-0.519733327601313,-0.0982686251552567,0.0391937085656108,-1.02678778500565,-0.801142067388372,-0.636446629817144,0.809501503190096,0.989758714390101,-1.3821149495294
"14","f_l_is_gr_fmsy",-1.00169106363432,1.06990151427346,1.88714962134336,1.19234200193944,-0.504143915275105,-0.926136892325423,-0.0600631515472224,-0.664570997459524,-0.986587676916654,-0.461130857008269,-0.403005102593624,0.68162147478364,1.20242823433885,-1.02611318991861
"15","f_l_is_less_f_dot_1_bmsy",0.814103163374603,0.80141304576635,0.941068718949276,0.666197055827178,-0.898343502841634,-0.587793387474338,-0.72561148601012,-0.189039689044141,0.836183489765307,-1.50106798710479,0.98700808512787,-0.205577860868434,0.98700808512787,-1.925547730595
"16","f_l_is_less_f_dot_5_bmsy",0.633179206522454,0.878305405069012,1.01562897505185,0.796761649578679,-0.827979412763685,-0.741165661625111,-0.766420571047242,-0.428636157526245,0.668016887819286,-1.52248942187228,1.10244272619042,-0.20134197272707,1.10244272619042,-1.70874437886049
"17","f_l_is_less_fmsy",0.133462397577673,1.00532494465843,1.16824030311803,0.96947070417378,-0.58412657779196,-0.89489789182834,-0.781267851894333,-0.638888042820397,0.194086463892188,-1.51370244664968,1.28323937967774,-0.215855725475721,1.25582023731831,-1.38090589395572
"18","f_l_n_gr_f_dot_1_bmsy",0.282356128301469,0.771084256718903,1.2753456128944,1.08864501103814,-0.743227389257741,-0.605343424678503,-0.737358275896642,-0.313656530513212,0.313476826860712,-1.68453669380218,0.549424728820968,0.0339075388022666,1.41590787300721,-1.64602566229579
"19","f_l_n_gr_f_dot_5_bmsy",-0.281335941939408,0.965692929688813,1.51215022245644,1.25929994754173,-0.6014164236567,-0.688864551684812,-0.63709885057664,-0.394278813297555,-0.248647324574697,-1.47283066095308,0.624428293192453,0.170131901819724,1.31886175257413,-1.52609248059039
"20","f_l_n_gr_fmsy",-0.814158754316548,1.13907791313558,1.68617805669087,1.35427327512503,-0.445855399477159,-0.758145868509243,-0.46895248190301,-0.443616070156093,-0.771824446451031,-1.0919978798613,0.704392101497806,0.270154155724245,0.992875287983261,-1.3523998894824
"21","f_l_n_less_f_dot_1_bmsy",0.282356128301468,0.771084256718903,1.2753456128944,1.08864501103814,-0.743227389257741,-0.605343424678503,-0.737358275896643,-0.313656530513212,0.313476826860712,-1.68453669380218,0.549424728820968,0.0339075388022666,1.41590787300721,-1.6460256622958
"22","f_l_n_less_f_dot_5_bmsy",-0.281335941939409,0.965692929688812,1.51215022245644,1.25929994754173,-0.6014164236567,-0.688864551684812,-0.63709885057664,-0.394278813297555,-0.248647324574698,-1.47283066095308,0.624428293192453,0.170131901819724,1.31886175257413,-1.52609248059039
"23","f_l_n_less_fmsy",-0.814158754316548,1.13907791313558,1.68617805669087,1.35427327512503,-0.445855399477158,-0.758145868509243,-0.46895248190301,-0.443616070156093,-0.771824446451031,-1.0919978798613,0.704392101497806,0.270154155724245,0.992875287983261,-1.3523998894824
"24","f_s_avg_f_fmsy",-1.18136237045444,0.968015914673878,1.1577459164779,0.954692923159848,0.0584674088936484,-1.00269366798671,0.83588987046867,-0.680375088875772,-1.18285634432589,0.611290451564169,0.115484654313138,1.01015626515702,0.181008056726311,-1.84546398979179
"25","f_s_is_gr_f_dot_1_bmsy",-1.25899023895118,0.98121849049813,1.17961056604496,0.862657902722573,-0.137533815217082,-0.892318704139612,0.793268103137975,-0.596968095430796,-1.29490229995186,0.445709053495782,0.141408426341244,1.0722103446963,0.499409164170112,-1.79477889741655
"26","f_s_is_gr_f_dot_5_bmsy",-1.35187248641437,1.17693538578918,1.51015615726766,0.497948203418411,-0.508507177090835,-0.559085329904534,0.337933086173709,-0.325533271323631,-1.34450748777407,0.0285137983722586,0.436114206341476,0.681567006760896,1.09511778564937,-1.67477987726553
"27","f_s_is_gr_fmsy",-1.29236999239041,1.30664776409661,1.71543954104155,0.198574296048867,-0.456177126658926,-0.414580770408389,-0.213770774716139,0.154859003090348,-1.2737606805488,-0.335691129243576,0.837612988443998,0.151990288866174,1.16321205288786,-1.54198546050916
"28","f_s_is_less_f_dot_1_bmsy",-1.06704315642711,0.726600825990803,0.829518440204068,1.06251401613477,0.647804527608772,-1.05194419463219,0.924395615806922,-0.7062053343845,-1.05292611005808,0.688006720660829,0.0721091231033192,1.05786689673975,-0.154102735917853,-1.97659463482949
"29","f_s_is_less_f_dot_5_bmsy",-1.02879125954812,1.11106314698371,1.31016077516956,0.950351537949492,-0.355622713985403,-1.21174251518457,0.847258789637453,-0.97946194896774,-0.999124251437646,0.518747703130797,-0.0470213902973327,0.99990030457994,0.42287627675954,-1.53859445478967
"30","f_s_is_less_fmsy",-1.08108877756398,1.49947773438878,1.75442435587878,0.386197950059375,-0.525186078379739,-0.487913180501084,0.27692668396891,-0.317948766174419,-1.06183671019122,-0.316457850259272,0.443909266465283,0.39023629352002,0.866014751090919,-1.82675567230236
"31","f_s_n_gr_f_dot_1_bmsy",-1.18186128721251,0.886870535309138,1.04265080414859,1.01253361092325,0.136009639502968,-0.999368886555256,0.902967829755882,-0.677163363838984,-1.18180489028502,0.581800842165207,0.0428011119806942,1.10652071437277,0.177453226589141,-1.84940988685588
"32","f_s_n_gr_f_dot_5_bmsy",-1.21033939711875,1.17435561517398,1.44752347090475,0.7543690094339,-0.433537805913142,-0.853309259893248,0.589523275395159,-0.660826118306893,-1.21311445676831,0.256237397360702,0.219850173334789,0.866382588635807,0.759429133124595,-1.69654362536334
"33","f_s_n_gr_fmsy",-1.22827896419514,1.41342424204531,1.75588943593357,0.281627901611985,-0.500013032566511,-0.416256653682839,0.0224443795531341,-0.0207537528223992,-1.20123821135088,-0.331300326677623,0.650977205617145,0.251154491519152,1.00980497866016,-1.68748169364506
"34","f_s_n_less_f_dot_1_bmsy",-1.18186128721251,0.886870535309138,1.04265080414859,1.01253361092325,0.136009639502968,-0.999368886555256,0.902967829755881,-0.677163363838984,-1.18180489028502,0.581800842165207,0.0428011119806942,1.10652071437277,0.177453226589141,-1.84940988685588
"35","f_s_n_less_f_dot_5_bmsy",-1.21033939711875,1.17435561517398,1.44752347090475,0.754369009433901,-0.433537805913142,-0.853309259893248,0.589523275395159,-0.660826118306893,-1.21311445676831,0.256237397360702,0.219850173334789,0.866382588635807,0.759429133124595,-1.69654362536334
"36","f_s_n_less_fmsy",-1.22827896419514,1.41342424204531,1.75588943593357,0.281627901611985,-0.500013032566512,-0.416256653682839,0.0224443795531341,-0.0207537528223996,-1.20123821135088,-0.331300326677623,0.650977205617145,0.251154491519152,1.00980497866016,-1.68748169364506
"37","ssb_l_avg_ssb_ssbmsy",-0.846457175685583,1.56295899275637,2.27101771158456,0.883378965602085,-0.539979678909923,-0.735914131356764,-0.185426795778613,-0.534969681374377,-0.833419705911902,-0.622492191255159,-0.17838150004134,0.348151428538112,0.524548202969684,-1.11301444113715
"38","ssb_l_is_ge_bmsy",-0.746251824295398,1.34389117329791,1.65178991074588,1.17859260958532,-0.581580835527376,-0.840863982851976,-0.351761682216936,-0.70827600978826,-0.727334701411833,-1.02648714514118,1.05072443285703,0.230152199562704,0.763087357825821,-1.23568150264171
"39","ssb_l_is_less_01_bmsy",-0.513965873954796,0.938023399609478,1.82058596357603,1.08171330372305,-0.739197090478354,-0.486031733483964,-0.352416683959148,-0.317254828821038,-0.50883590359806,-1.40727233810244,-0.176607408268599,0.531903972764311,1.44344864297997,-1.31409342198645
"40","ssb_l_is_less_05_bmsy",-0.96887865893184,1.02954022755212,1.9430689157706,0.862661960233288,-0.510099703403979,-0.465570240019622,0.0471932777396401,0.0242538572083048,-0.987779401527081,-0.765132084605296,-0.770529595318552,0.836579219553242,1.10918866470053,-1.38449643895135
"41","ssb_l_n_ge_bmsy",-0.946969958014557,1.39878134072317,2.02246373549878,1.02543634814307,-0.528244463891985,-0.684303967350871,-0.145075669685188,-0.398229603867493,-0.934661382928842,-0.795080517425158,-0.0333267862560171,0.509651940064218,0.801432394379286,-1.2918734093884
"42","ssb_l_n_less_01_bmsy",-0.147234892260785,0.900724320394605,1.36034315558449,0.978957352802415,-0.919176355586528,-0.946163760914821,-0.432903292911904,-0.670125917526041,-0.100516371530902,-1.18638498612099,0.973190501368727,0.182559478602792,1.51721450154212,-1.51048373344318
"43","ssb_l_n_less_05_bmsy",-0.751355434251575,1.2085592336019,1.81767817339603,1.07006396949347,-0.65463261580234,-0.675000389276286,-0.283112176345251,-0.409147346037412,-0.731731828677328,-1.10831328434794,0.320723393637974,0.459622420261049,1.14925064157332,-1.41260475722562
"44","ssb_s_avg_ssb_ssbmsy",-1.32486882794395,1.28282871191095,1.58248234012741,0.606921861544048,-0.193459460584189,-0.822837764915784,0.503249997625861,-0.47841915796342,-1.31714156150735,0.327409589043087,0.362981091160029,0.65828833430195,0.505754052159144,-1.69318920495779
"45","ssb_s_is_ge_bmsy",-1.08228534459653,1.50923473434696,1.9815323484915,0.211820524788608,-0.539157165201297,-0.58691759809232,-0.0774729805880903,-0.316275145043197,-1.04838398960704,-0.326888574574534,0.766294667153291,0.108262036210327,0.894602309734047,-1.49436582302173
"46","ssb_s_is_less_01_bmsy",-1.10492296237059,0.85806452844855,1.00420600853225,1.08200422545914,0.173287307484915,-1.13781054240887,0.88729282446529,-0.805860609075892,-1.09110712760964,0.703572106645779,0.0960410965835296,1.08353995486341,0.0492281271974272,-1.7975349382153
"47","ssb_s_is_less_05_bmsy",-1.24148483837262,0.950730461936804,1.17645130967035,0.974528127101165,-0.217583925869222,-0.673205637035078,0.952820469786189,-0.464204852096613,-1.30854501014857,0.624689237432797,-0.165333729634606,1.12002109773696,0.0624771259483224,-1.79135983645587
"48","ssb_s_n_ge_bmsy",-1.31716543198415,1.16883887360636,1.49384448094065,0.791256009208684,-0.296631220749424,-0.768344466320282,0.625913526263732,-0.434236560263283,-1.31498298127469,0.35605714060231,0.261286148018835,0.813313794084164,0.370101698893186,-1.74925101102609
"49","ssb_s_n_less_01_bmsy",-1.12880872841399,0.801472912347136,0.937085407922062,1.05980358601324,0.305685294116224,-1.03148307623009,0.824804094381532,-0.639956677715383,-1.11312834659439,0.630134544282042,0.233504449697312,1.01582814728815,0.128845805036632,-2.02378741213049
"50","ssb_s_n_less_05_bmsy",-1.19523044398869,1.02747058296855,1.23861577414601,0.950511012807489,0.056525678988077,-0.950753961523889,0.863560549282033,-0.714174454774386,-1.20523936868756,0.626577323237735,0.0637926262943757,1.01091809188198,-0.0281073155420937,-1.74446609508963
