"","F","Catch","SSB"
"ES-FM-2-0.75",1.21723918049706,0.790112605619797,0.852902280250768
"Itarget-2-1",1.25146538229496,0.715684436705251,0.833506812973037
"PBS-2-1",1.33331849901548,0.788259917392908,0.876276585482063
"ES-Fstable-2-0.75",1.50598288278561,0.895955293513484,0.714574596939645
"AIM-2-0.75",1.50526222597663,0.899156358841164,0.709544540153859
"Itarget-1-0.75",1.32945217156631,1.04782580844604,1.13399992917812
"Islope-1-1",1.3802949293212,1.01605321516637,1.06554365526814
"ES-Fstable-1-0.75",1.28639317321635,1.15415050402219,0.939332923886475
"AIM-1-0.75",1.28841662477844,1.15655721395084,0.934123002062693
"ES-FSPR-2-0.75",1.11354521895993,0.795008368424909,0.850021252196251
"Ensemble-2-0.75",1.01556643905401,0.790613563743636,0.944281379387892
"DLM-2-1",1.09216917845186,0.705298156243198,1.01869167016797
"Itarget-2-0.75",0.918817105478825,0.645917700655547,0.926624305183893
"ES-Frecent-1-1",0.930969024155419,1.00055451288976,1.26180227028076
"Ensemble-1-0.75",0.812999220501077,0.937982265057818,1.2100962820329
"SCAA-1-1",0.818947390561203,0.964306809766808,1.0638343616049
"ES-FM-2-1",1.94298575892428,0.840772148149633,0.666620132150582
"Ensemble-2-1",1.90476189576006,0.847427991121493,0.669763013002737
"ES-Frecent-2-1",1.77947299551492,0.833207866389834,0.72697460136036
"ES-FSPR-2-1",1.7613526766404,0.834980530479481,0.669033976235112
"Itarget-1-1",1.94118008835761,1.1358254130377,0.991676539311108
"Ensemble-1-1",1.98524186798343,1.07979964054909,0.889443728438824
"Islope-2-1",2.24063085205372,0.807503622067025,0.631912327234762
"AIM-2-1",2.66906890662258,0.913645358769935,0.500241334305444
"ES-Fstable-2-1",2.65478856586511,0.913551782495919,0.506521266546025
"Skate-2-0.75",2.71994635396336,0.875133830435507,0.542663416886443
"ES-FM-1-0.75",2.79930069016393,1.0547141629117,0.804822996538455
"ES-Fstable-1-1",2.51020106719339,1.24818573874418,0.734736313491366
"AIM-1-1",2.45929933435831,1.24635923583447,0.723080195708715
"ES-FSPR-1-0.75",2.41374295504305,1.05208494600423,0.813447770332839
"Skate-1-0.75",3.37823053779859,1.16837363585531,0.704533155564955
"CC-FM-2-1",0.340979149236042,0.432348960185679,1.67968153790651
"CC-FSPR-2-1",0.330052444069839,0.433030952659974,1.67390818529062
"ES-Frecent-2-0.75",0.392539585046867,0.415742989830131,1.66719913039168
"PBS-2-0.75",0.325705573679472,0.349439080678811,1.78192796435849
"CC-FSPR-1-0.75",0.278872596118043,0.566475847562927,1.96655180636086
"CC-FM-1-0.75",0.276500328463141,0.555731520387333,1.9563785831049
"Islope-1-0.75",0.357995620798677,0.595380935000411,1.93280401620776
"ES-Frecent-1-0.75",0.247033736636615,0.461734653162166,2.17366452309513
"PBS-1-0.75",0.208465496111627,0.39074965747155,2.24320849056148
"DLM-1-0.75",0.172196434799259,0.286476014556451,2.35967041217299
"CC-FM-2-0.75",0.150674942794929,0.244572618617912,2.1141974196338
"CC-FSPR-2-0.75",0.155295281943794,0.24007557696382,2.09007938748706
"DLM-2-0.75",0.267124804149748,0.260148083996085,1.92801126869976
"CC-FM-1-1",0.690533507226778,0.840722395083055,1.49272770995324
"CC-FSPR-1-1",0.677957472930017,0.824554112603645,1.50974611262227
"PBS-1-1",0.724040087457123,0.941509042035689,1.43494168140174
"DLM-1-1",0.567915774803441,0.800925049339413,1.58152713484432
"SCAA-1-0.75",0.519551890433843,0.883483889162503,1.20123741545739
"SCAA-2-1",0.47629423351904,0.660560204353046,1.22195272713449
"Islope-2-0.75",0.579247366181878,0.503959499585491,1.38047123059914
"SCAA-2-0.75",0.34357129202754,0.565330171493151,1.38197600248054
"ES-FM-1-1",5.10818886917729,1.19180666320676,0.669080488495867
"Skate-1-1",5.09467820456933,1.29080048114977,0.547147643751269
"ES-FSPR-1-1",4.13620344325581,1.18215956043675,0.675088955535103
"Skate-2-1",4.45986989503597,0.900248527086562,0.403664560825987
