IBM,Fhist,time.avg,F_history,Period,F,Catch,SSB,PED,PING,IAV
AIM,1,L,Fmsy,Long-term,1.459969817,0.859031861,0.765524395,0.35,0.5,NA
AIM,1,S,Fmsy,Short-term,3.170677483,1.648109503,0.863760745,0.166666667,1,NA
AIM,2,L,2.5xFmsy,Long-term,1.841645368,0.802407823,0.638548458,0.5,0.7,NA
AIM,2,S,2.5xFmsy,Short-term,2.403572541,0.998669025,0.571150026,0.5,1,NA
CC-FM,1,L,Fmsy,Long-term,0.298138123,0.502042092,2.207262745,0,0,NA
CC-FM,1,S,Fmsy,Short-term,0.509263838,0.84970693,1.414940095,0,0,NA
CC-FM,2,L,2.5xFmsy,Long-term,0.060843663,0.218698289,3.052099081,0,0,NA
CC-FM,2,S,2.5xFmsy,Short-term,0.405846304,0.389085526,0.964563798,0,0,NA
CC-FSPR,1,L,Fmsy,Long-term,0.291065908,0.513232901,2.215869384,0,0,NA
CC-FSPR,1,S,Fmsy,Short-term,0.507330179,0.84120371,1.417853081,0,0,NA
CC-FSPR,2,L,2.5xFmsy,Long-term,0.057595625,0.207136548,3.048305889,0,0,NA
CC-FSPR,2,S,2.5xFmsy,Short-term,0.396481567,0.387181888,0.959564142,0,0,NA
DLM,1,L,Fmsy,Long-term,0.041568488,0.107114563,2.723783425,0,0,NA
DLM,1,S,Fmsy,Short-term,0.521302686,0.837210377,1.474555135,0,0,NA
DLM,2,L,2.5xFmsy,Long-term,0.057048345,0.110724996,2.565177102,0,0,NA
DLM,2,S,2.5xFmsy,Short-term,1.131780271,0.751249033,0.748245499,0,0.666666667,NA
Ensemble,1,L,Fmsy,Long-term,1.456773271,0.661072292,0.898277898,0.35,0.45,NA
Ensemble,1,S,Fmsy,Short-term,1.208532556,1.375554112,1.13254186,0,0.666666667,NA
Ensemble,2,L,2.5xFmsy,Long-term,1.530707701,0.793976352,0.969363833,0.3,0.5,NA
Ensemble,2,S,2.5xFmsy,Short-term,1.359643858,0.835008279,0.713693953,0.166666667,0.833333333,NA
ES-FM,1,L,Fmsy,Long-term,3.19707022,0.630025307,0.470765015,0.65,0.8,NA
ES-FM,1,S,Fmsy,Short-term,4.86028932,1.562454819,0.815859331,0.166666667,1,NA
ES-FM,2,L,2.5xFmsy,Long-term,1.625613055,0.828193725,0.818333835,0.35,0.55,NA
ES-FM,2,S,2.5xFmsy,Short-term,1.413458818,0.803021113,0.730846323,0,0.833333333,NA
ES-Frecent,1,L,Fmsy,Long-term,0.267509547,0.374416188,2.193215092,0,0,NA
ES-Frecent,1,S,Fmsy,Short-term,0.615945938,0.953160682,1.442893872,0,0,NA
ES-Frecent,2,L,2.5xFmsy,Long-term,0.295582382,0.333566171,2.01143828,0,0,NA
ES-Frecent,2,S,2.5xFmsy,Short-term,1.338050974,0.835191478,0.723653945,0,0.666666667,NA
ES-FSPR,1,L,Fmsy,Long-term,2.408178196,0.633895412,0.451670862,0.65,0.8,NA
ES-FSPR,1,S,Fmsy,Short-term,3.972312557,1.558777471,0.822139695,0.166666667,1,NA
ES-FSPR,2,L,2.5xFmsy,Long-term,1.461194699,0.830377137,0.810238874,0.35,0.55,NA
ES-FSPR,2,S,2.5xFmsy,Short-term,1.402760641,0.800269626,0.721837814,0.166666667,0.833333333,NA
ES-Fstable,1,L,Fmsy,Long-term,1.450819851,0.865722815,0.778369501,0.35,0.5,NA
ES-Fstable,1,S,Fmsy,Short-term,3.198107175,1.640640349,0.867650725,0.166666667,1,NA
ES-Fstable,2,L,2.5xFmsy,Long-term,1.845018054,0.810813728,0.648425868,0.45,0.65,NA
ES-Fstable,2,S,2.5xFmsy,Short-term,2.394361337,0.989895697,0.57111483,0.5,1,NA
Islope,1,L,Fmsy,Long-term,0.566972297,0.476901881,1.691497303,0,0.05,NA
