IBM,Fhist,time.avg,F_history,Period,F,Catch,SSB,PED,PING,IAV
AIM,1,L,Fmsy,Long-term,1.459969817,0.859031861,0.765524395,0.652581573,0.860732592,NA
AIM,1,S,Fmsy,Short-term,3.170677483,1.648109503,0.863760745,0.51743968,0.787223403,NA
AIM,2,L,2.5xFmsy,Long-term,1.841645368,0.802407823,0.638548458,0.775096887,0.951868984,NA
AIM,2,S,2.5xFmsy,Short-term,2.403572541,0.998669025,0.571150026,0.601700213,0.848231029,NA
CC-FM,1,L,Fmsy,Long-term,0.298138123,0.502042092,2.207262745,0.4085,0.49175,NA
CC-FM,1,S,Fmsy,Short-term,0.509263838,0.84970693,1.414940095,0.216375,0.412625,NA
CC-FM,2,L,2.5xFmsy,Long-term,0.060843663,0.218698289,3.052099081,0.1465,0.224625,NA
CC-FM,2,S,2.5xFmsy,Short-term,0.405846304,0.389085526,0.964563798,0.389875,0.31775,NA
CC-FSPR,1,L,Fmsy,Long-term,0.291065908,0.513232901,2.215869384,0.393,0.48625,NA
CC-FSPR,1,S,Fmsy,Short-term,0.507330179,0.84120371,1.417853081,0.214,0.412,NA
CC-FSPR,2,L,2.5xFmsy,Long-term,0.057595625,0.207136548,3.048305889,0.154375,0.23325,NA
CC-FSPR,2,S,2.5xFmsy,Short-term,0.396481567,0.387181888,0.959564142,0.391375,0.315125,NA
DLM,1,L,Fmsy,Long-term,0.041568488,0.107114563,2.723783425,0.192613636,0.221931818,NA
DLM,1,S,Fmsy,Short-term,0.521302686,0.837210377,1.474555135,0.064318182,0.250113636,NA
DLM,2,L,2.5xFmsy,Long-term,0.057048345,0.110724996,2.565177102,0.252013156,0.279346717,NA
DLM,2,S,2.5xFmsy,Short-term,1.131780271,0.751249033,0.748245499,0.489849155,0.714755586,NA
Ensemble,1,L,Fmsy,Long-term,1.456773271,0.661072292,0.898277898,0.641125,0.76375,NA
Ensemble,1,S,Fmsy,Short-term,1.208532556,1.375554112,1.13254186,0.362625,0.603125,NA
Ensemble,2,L,2.5xFmsy,Long-term,1.530707701,0.793976352,0.969363833,0.653875,0.781625,NA
Ensemble,2,S,2.5xFmsy,Short-term,1.359643858,0.835008279,0.713693953,0.503625,0.725125,NA
ES-FM,1,L,Fmsy,Long-term,3.19707022,0.630025307,0.470765015,0.65175,0.89075,NA
ES-FM,1,S,Fmsy,Short-term,4.86028932,1.562454819,0.815859331,0.5145,0.702375,NA
ES-FM,2,L,2.5xFmsy,Long-term,1.625613055,0.828193725,0.818333835,0.628625,0.834625,NA
ES-FM,2,S,2.5xFmsy,Short-term,1.413458818,0.803021113,0.730846323,0.496125,0.588875,NA
ES-Frecent,1,L,Fmsy,Long-term,0.267509547,0.374416188,2.193215092,0.300375,0.392625,NA
ES-Frecent,1,S,Fmsy,Short-term,0.615945938,0.953160682,1.442893872,0.070875,0.3425,NA
ES-Frecent,2,L,2.5xFmsy,Long-term,0.295582382,0.333566171,2.01143828,0.373531617,0.429767558,NA
ES-Frecent,2,S,2.5xFmsy,Short-term,1.338050974,0.835191478,0.723653945,0.496250937,0.769557611,NA
ES-FSPR,1,L,Fmsy,Long-term,2.408178196,0.633895412,0.451670862,0.652875,0.884375,NA
ES-FSPR,1,S,Fmsy,Short-term,3.972312557,1.558777471,0.822139695,0.51575,0.702125,NA
ES-FSPR,2,L,2.5xFmsy,Long-term,1.461194699,0.830377137,0.810238874,0.625125,0.829,NA
ES-FSPR,2,S,2.5xFmsy,Short-term,1.402760641,0.800269626,0.721837814,0.501875,0.596875,NA
ES-Fstable,1,L,Fmsy,Long-term,1.450819851,0.865722815,0.778369501,0.655,0.861375,NA
ES-Fstable,1,S,Fmsy,Short-term,3.198107175,1.640640349,0.867650725,0.52025,0.78775,NA
ES-Fstable,2,L,2.5xFmsy,Long-term,1.845018054,0.810813728,0.648425868,0.775943986,0.954363591,NA
ES-Fstable,2,S,2.5xFmsy,Short-term,2.394361337,0.989895697,0.57111483,0.603275819,0.842585646,NA
Islope,1,L,Fmsy,Long-term,0.566972297,0.476901881,1.691497303,0.444125,0.511125,NA
Islope,1,S,Fmsy,Short-term,0.699539425,1.024399429,1.401320064,0.10025,0.385625,NA
Islope,2,L,2.5xFmsy,Long-term,0.532354761,0.38846888,1.622277723,0.47675,0.5285,NA
Islope,2,S,2.5xFmsy,Short-term,1.562158411,0.871193893,0.680302859,0.529125,0.795375,NA
Itarget,1,L,Fmsy,Long-term,1.637948178,0.939514125,1.076711601,0.68125,0.816125,NA
Itarget,1,S,Fmsy,Short-term,1.575682946,1.38254144,1.053021518,0.447625,0.579375,NA
Itarget,2,L,2.5xFmsy,Long-term,1.61396181,0.848043185,0.931336957,0.770125,0.888375,NA
Itarget,2,S,2.5xFmsy,Short-term,0.602622388,0.487482524,0.842189998,0.4755,0.472375,NA
Ismooth,1,L,Fmsy,Long-term,0.17834544,0.323911532,2.40960331,0.208395802,0.294477761,NA
Ismooth,1,S,Fmsy,Short-term,0.577134791,0.903116292,1.464519309,0.053098451,0.252998501,NA
Ismooth,2,L,2.5xFmsy,Long-term,0.194020224,0.282273518,2.274922246,0.293228386,0.333583208,NA
Ismooth,2,S,2.5xFmsy,Short-term,1.214992398,0.794018707,0.747971504,0.479635182,0.732883558,NA
SCAA,1,L,Fmsy,Long-term,0.662231511,0.821004647,1.327196881,0.485807178,0.509816181,NA
SCAA,1,S,Fmsy,Short-term,0.798992138,1.183505896,0.933701842,0.488683256,0.501563086,NA
SCAA,2,L,2.5xFmsy,Long-term,0.533801347,0.871208322,1.684478418,0.300875,0.5015,NA
SCAA,2,S,2.5xFmsy,Short-term,0.395499383,0.402188383,1.011078405,0.366125,0.275375,NA
Skate,1,L,Fmsy,Long-term,3.380643423,0.611497059,0.411558527,0.752375,0.899125,NA
Skate,1,S,Fmsy,Short-term,6.460981162,1.750666505,0.701804656,0.6005,0.875375,NA
Skate,2,L,2.5xFmsy,Long-term,2.947795257,0.631879542,0.42321645,0.877875,0.990625,NA
Skate,2,S,2.5xFmsy,Short-term,4.028823243,1.055363166,0.494613763,0.645,0.89525,NA
