"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","SCAA","Skate"
"30","f_s_is_less_fmsy",0.370035035035035,0.80275,0.8455,0.616072841848487,0.46325,0.4695,0.59775,0.498,0.373263263263263,0.49825,0.62575,0.61675,0.696529559118236,0.245
"31","f_s_n_gr_f_dot_1_bmsy",-2.73597097097097,-0.744,-0.594,-0.622999686657731,-1.467,-2.56025,-0.7285,-2.25,-2.73591666666667,-1.03775,-1.55675,-0.5325,-1.42709418837675,-3.37875
"32","f_s_n_gr_f_dot_5_bmsy",-3.42351276276276,-1.1625,-0.9035,-1.56070399291008,-2.687,-3.085,-1.717,-2.9025,-3.42614389389389,-2.033,-2.0675,-1.4545,-1.55590631262525,-3.8845
"33","f_s_n_gr_fmsy",-4.63564314314314,-1.88375,-1.527,-3.06275549210655,-3.877,-3.78975,-3.33275,-3.37775,-4.60747447447447,-3.70125,-2.678,-3.0945,-2.30420490981964,-5.114
"34","f_s_n_less_f_dot_1_bmsy",3.26402902902903,5.256,5.406,5.37700031334227,4.533,3.43975,5.2715,3.75,3.26408333333333,4.96225,4.44325,5.4675,4.57290581162325,2.62125
"35","f_s_n_less_f_dot_5_bmsy",2.57648723723724,4.8375,5.0965,4.43929600708992,3.313,2.915,4.283,3.0975,2.57385610610611,3.967,3.9325,4.5455,4.44409368737475,2.1155
"36","f_s_n_less_fmsy",1.36435685685686,4.11625,4.473,2.93724450789345,2.123,2.21025,2.66725,2.62225,1.39252552552553,2.29875,3.322,2.9055,3.69579509018036,0.886
"37","ssb_l_avg_ssb_ssbmsy",0.731214390635982,2.29579648734682,2.7555825589307,1.85450338169981,0.930229077588143,0.802996787690544,1.16046206952626,0.933482377101672,0.739680421561432,0.876648628821806,1.16503701333254,1.50694722551346,1.62149249951303,0.55812236496762
"38","ssb_l_is_ge_bmsy",0.520305555555556,0.875,0.92725,0.846949056934854,0.54825,0.50425,0.58725,0.52675,0.523515765765766,0.47275,0.82525,0.686,0.776438376753507,0.43725
"39","ssb_l_is_less_01_bmsy",-0.526472222222222,-0.32,-0.1945,-0.299567360204804,-0.5585,-0.5225,-0.5035,-0.4985,-0.525742742742743,-0.6535,-0.4785,-0.37775,-0.24812875751503,-0.64025
