"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","Skate"
"32","f_s_n_gr_f_dot_5_bmsy",-3.13075319069069,-0.8829375,-0.8789375,-0.955496106063877,-2.2291875,-2.8256875,-1.070625,-2.8244375,-3.13301739239239,-1.3836875,-2.0614375,-0.876375,-3.669
"33","f_s_n_gr_fmsy",-4.15603578578579,-1.494,-1.4871875,-2.19162682727834,-3.3805625,-3.3995,-2.442625,-3.4158125,-4.13955342842843,-2.8245,-2.677625,-2.208,-4.7703125
"34","f_s_n_less_f_dot_1_bmsy",3.65769475725726,5.4871875,5.509875,5.7004400776998,4.87725,3.8954375,5.65175,3.92225,3.66118437187187,5.471,4.5433125,5.7609375,3.052375
"35","f_s_n_less_f_dot_5_bmsy",2.86924680930931,5.1170625,5.1210625,5.04450389393612,3.7708125,3.1743125,4.929375,3.1755625,2.86698260760761,4.6163125,3.9385625,5.123625,2.331
"36","f_s_n_less_fmsy",1.84396421421421,4.506,4.5128125,3.80837317272166,2.6194375,2.6005,3.557375,2.5841875,1.86044657157157,3.1755,3.322375,3.792,1.2296875
"37","ssb_l_avg_ssb_ssbmsy",0.937251881840529,2.75679300738681,2.77829341040031,2.65922473763634,1.20063363404188,0.975017287138582,2.14206742579774,0.985662453327995,0.945122964568025,1.82181786122951,1.23582922231189,2.38519224683993,0.73018381596309
"38","ssb_l_is_ge_bmsy",0.600888888888889,0.9459375,0.9535625,0.941689982862228,0.6749375,0.549375,0.8138125,0.55025,0.606951201201201,0.738,0.847,0.865625,0.4879375
"39","ssb_l_is_less_01_bmsy",-0.365618055555556,-0.1428125,-0.1136875,-0.102217989895386,-0.3944375,-0.4328125,-0.20425,-0.4331875,-0.364793606106106,-0.295125,-0.319875,-0.1493125,-0.518
"40","ssb_l_is_less_05_bmsy",-0.713874562062062,-0.2775,-0.2736875,-0.240704048761761,-0.6475,-0.6401875,-0.3369375,-0.639,-0.715499937437437,-0.4604375,-0.7256875,-0.25075,-0.815125
"41","ssb_l_n_ge_bmsy",7.02144012762763,16.4231875,16.4691875,16.3610179141281,8.839,7.585125,13.912,7.6069375,7.05449655905906,11.8935,9.292625,15.320125,5.4083125
"42","ssb_l_n_less_01_bmsy",-3.51346121121121,-1.2438125,-0.8875625,-0.922834569159287,-5.0603125,-6.1136875,-2.68525,-5.9535625,-3.44663282032032,-3.9645,-1.7959375,-1.934625,-7.594625
"43","ssb_l_n_less_05_bmsy",-9.19326157407407,-2.5364375,-2.3843125,-2.26544604871081,-8.445625,-9.720375,-4.5633125,-9.7086875,-9.11051501501501,-6.4511875,-6.8820625,-3.3065,-11.832125
"44","ssb_s_avg_ssb_ssbmsy",0.936406549109389,1.40964518595266,1.41126769291903,1.30301072616977,1.14169193447018,1.03973261256681,1.28814520261762,1.04173913031553,0.937990006175735,1.25900146073705,1.19025077450148,1.31221640398236,0.860317175288012
"45","ssb_s_is_ge_bmsy",0.604478290790791,0.738375,0.7378125,0.692644986042264,0.6385625,0.6265,0.6750625,0.6275,0.606508571071071,0.6618125,0.678125,0.6839375,0.582875
"46","ssb_s_is_less_01_bmsy",-0.175890452952953,-0.0440625,-0.037875,-0.0272874633887544,-0.08,-0.16725,-0.0369375,-0.151,-0.176237737737738,-0.050625,-0.094625,-0.0275625,-0.230875
"47","ssb_s_is_less_05_bmsy",-0.559618931431431,-0.303125,-0.3026875,-0.281722007462417,-0.433125,-0.5053125,-0.2835,-0.5088125,-0.561809747247247,-0.3146875,-0.4615625,-0.2661875,-0.62275
"48","ssb_s_n_ge_bmsy",2.26049931181181,3.4663125,3.4678125,3.3351623253335,2.778625,2.5421875,3.2845625,2.5340625,2.26326338838839,3.168625,2.8775625,3.357,2.0063125
"49","ssb_s_n_less_01_bmsy",-0.458405467967968,-0.1150625,-0.098125,-0.0650566570836995,-0.1848125,-0.420125,-0.0988125,-0.3678125,-0.461714339339339,-0.1381875,-0.2144375,-0.072125,-0.651
"50","ssb_s_n_less_05_bmsy",-2.47409753503503,-1.13925,-1.1316875,-1.12604270037055,-1.705625,-2.2965,-1.1625,-2.2875625,-2.46864107857858,-1.2909375,-1.816375,-1.0925,-2.797875
