"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PlanB","Skate"
"1","ssb_l_avg_ssb_ssbmsy",-0.915541574395218,1.39418276085549,1.41816954197274,1.2719865146568,-0.581328031015755,-0.866691488365432,0.612976135588199,-0.85313575948047,-0.904199378299704,0.207444099296986,-0.536071495710656,0.929082077033346,-1.17687340213632
"2","ssb_l_is_ge_bmsy",-0.808903353683438,1.24554399950484,1.28948007627847,1.22151218948828,-0.357049047388987,-1.11714679605924,0.457626051257027,-1.111840053258,-0.771000692045817,0.007445982141164,0.654814384055799,0.772291660641266,-1.48277440093136
"3","ssb_l_is_less_01_bmsy",-0.510673225672198,1.09680030950361,1.30539145400347,1.39145664612111,-0.712429844210953,-0.993075652087572,0.653695279267508,-0.996056599547428,-0.505967426550687,0.000687815986734047,-0.178823364768336,1.05548507880187,-1.60649047084713
"4","ssb_l_is_less_05_bmsy",-0.908449803248484,1.11584092226629,1.13281583558106,1.28811437913969,-0.605110284435751,-0.565216245480877,0.840476212383618,-0.560289910633018,-0.915647249847962,0.268160434976615,-0.96128768945375,1.24647703611476,-1.37588363736219
"5","ssb_l_n_ge_bmsy",-0.957131447095288,1.29411426406261,1.30335947000598,1.27919217654667,-0.522355206962841,-0.820249677154228,0.692546190633478,-0.815256948265071,-0.948267071915136,0.210457137619699,-0.412100392989521,1.03623317037497,-1.34054166486133
"6","ssb_l_n_less_01_bmsy",-0.0255365533474261,1.02251117002565,1.18455063500153,1.17205191589302,-0.703418445888979,-1.21880023752565,0.358203080952535,-1.14548503298076,0.00619060514149777,-0.228254682189868,0.767037646537972,0.711007523921287,-1.90005762554082
"7","ssb_l_n_less_05_bmsy",-0.773132137388261,1.24138082789755,1.28552134504965,1.32416022914661,-0.533649878517434,-0.930112465825702,0.627921304578968,-0.926792673810768,-0.747314103167962,0.0586816226358739,-0.0727450238359919,1.01368504136721,-1.56760408812973
"8","ssb_s_avg_ssb_ssbmsy",-1.21512246996007,1.33103010430675,1.32977582765509,0.751933256855911,-0.181556574939171,-0.66537034695454,0.672280736239875,-0.654686489992297,-1.20984977627792,0.515942127978448,0.145984146268082,0.809273039818086,-1.62963358099825
"9","ssb_s_is_ge_bmsy",-1.07081782510477,1.6430430663472,1.62354316728532,0.718607481773508,-0.500745253450798,-0.634379528064546,0.35076675966718,-0.61325353283926,-1.03775450382615,0.0847763821323704,0.414408961033734,0.539221428355015,-1.5174166033088
"10","ssb_s_is_less_01_bmsy",-1.06488823815594,0.793463913469227,0.878178473242064,1.02855758402268,0.261118931303812,-0.950503697399463,0.89177161638951,-0.720373216191647,-1.07346247622768,0.698984972246347,0.0767225323395408,1.02876086010423,-1.84833125514267
