"","Islope","Itarget","Skate","ES-Frecent","ES-FSPR","ES-FM","AIM","DLM","CC-FM","PlanB","ES-Fstable","CC-FSPR","Ensemble"
"retro_type           ",0.023,0.589,0.547,0.026,0.641,0.648,0.542,0.026,0.149,0.026,0.539,0.139,0.508
"Fhist                ",0,0.01,0.005,0.002,0.01,0.01,0.009,0.003,0.071,0.002,0.009,0.061,0.001
"n_selblocks          ",0.006,0,0.002,0.002,0.006,0.002,0.001,0,0.003,0.001,0.001,0.03,0
"catch.mult           ",0.241,0.006,0.028,0.292,0.015,0.016,0.044,0.222,0.046,0.236,0.043,0.042,0.046
"retro_type:Fhist     ",0.001,0,0.008,0.001,0,0,0.002,0.005,0.002,0.001,0.002,0.001,0
"retro_type:catch.mult",0,0.001,0.017,0,0.005,0.006,0.009,0,0.003,0,0.008,0.003,0.009
"Fhist:catch.mult     ",0.002,0,0.001,0,0,0,0,0.001,0.002,0,0,0.002,0
"SS.frac.explained",0.273,0.608,0.609,0.323,0.678,0.683,0.606,0.257,0.276,0.267,0.601,0.278,0.564
