"","F","Catch","SSB"
"CC-FSPR-1",-0.920565867524655,-0.478131530455271,1.2923366110981
"CC-FM-1",-0.914499210748012,-0.455796399516476,1.24617237808041
"PlanB-1",-0.891231716547319,-0.342232694287574,1.45336316894007
"ES-Frecent-1",-0.82621923231231,-0.256668096439439,1.19847159044238
"DLM-1",-0.948488919413969,-0.751561679905308,1.56296128647571
"Islope-1",-0.697754850966335,-0.145307843303753,0.746696695254458
"CC-FM-2",-1.09299398941015,-1.9175209392792,1.62315028488402
"CC-FSPR-2",-1.09314896472585,-1.93067246463803,1.58142353961849
"PlanB-2",-0.629235962527808,-0.91506766124858,0.208386068776994
"DLM-2",-0.673926047564243,-1.10222093595688,0.297722620457861
"ES-Frecent-2",-0.46211406000806,-0.803647794522043,-0.0955440571390954
"Islope-2",-0.221152703242895,-0.701064941384708,-0.440504504453728
"Itarget-2",-0.334001757266459,-0.499188822227446,-0.51845788197861
"Ensemble-2",-0.0296012562173055,0.0442142316353312,-0.677114837426678
"ES-FSPR-2",-0.021089781240825,0.0155897630718613,-0.78340035083201
"ES-FM-2",0.0580336958949206,0.0134598113400427,-0.77008487682662
"Itarget-1",0.14767145563019,1.13363671937705,-0.119756194180434
"Ensemble-1",-0.114507546872557,0.765382606354646,-0.159309337394893
"ES-Fstable-1",0.359556566289027,1.56412134941442,-0.63074446054207
"AIM-1",0.354887373357712,1.56507668993563,-0.65130796445927
"AIM-2",0.537994068778273,0.383525977927968,-1.1061571820684
"ES-Fstable-2",0.527081500366821,0.377117693901016,-1.09684306991702
"Skate-1",2.46919832404894,1.66262556734886,-1.09500595785597
"ES-FM-1",2.04809562448925,1.23804299752538,-0.844561612598792
"ES-FSPR-1",1.60152744743771,1.22409775872984,-0.833457281008733
"Skate-2",1.76648581029591,0.312190636602649,-1.38843467534616
